title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Idioteque,pop,Radiohead,2000,253367,{},"[Verse 1]
Who's in the bunker? Who's in the bunker?
Women and children first, and the children first, and the children
I'll laugh until my head comes off
I'll swallow until I burst, until I burst, until I
Who's in the bunker? Who's in the bunker?
I have seen too much, you haven't seen enough, you haven't seen it
I'll laugh until my head comes off
Women and children first, and children first, and children

[Chorus]
Here I'm alive
Everything all of the time
Here I'm alive
Everything all of the time

[Verse 2]
Ice Age coming, Ice Age coming
Let me hear both sides, let me hear both sides, let me hear both
Ice Age coming, Ice Age coming
Throw him in the fire, throw him in the fire, throw him on the
We're not scaremongering
This is really happening, happening
We're not scaremongering
This is really happening, happening
Mobiles skwerking, mobiles chirping
Take the money and run, take the money and run, take the money
[Chorus]
Here I'm alive
Everything all of the time
Here I'm alive
Everything all of the time
Here I'm alive
Everything all of the time
Here I'm alive
Everything all of the time

[Outro]
(-n first) (And the childre-) (-n first) (And the childre-)
(-n first) (And the childre-) (-n first) (And the ch-) (first)
(-n first) (And the childre-) (-n first) (And the childre-)
(-n first) (And the childre-) (-n first) (And the ch-) (first)
(-n first) (And the childre-) (-n first) (And the childre-)
(-n first) (And the childre-) (-n first) (And the ch-) (first)
(-n first) (And the childre-) (-n first) (And the childre-)",1187,en,en,en
Fake Plastic Trees,rock,Radiohead,1995,464667,{},"[Verse 1]
A green plastic watering can
For a fake Chinese rubber plant
In a fake plastic earth
That she bought from a rubber man
In a town full of rubber plants
To get rid of itself

[Chorus 1]
It wears her out
It wears her out
It wears her out
It wears her out

[Verse 2]
She lives with a broken man
A cracked polystyrene man
Who just crumbles and burns
He used to do surgery
For girls in the eighties
But gravity always wins
[Chorus 2]
And it wears him out
It wears him out
It wears him out
It wears

[Verse 3]
She looks like the real thing
She tastes like the real thing
My fake plastic love
But I can't help the feeling
I could blow through the ceiling
If I just turn and run

[Chorus 3]
And it wears me out
It wears me out
It wears me out
It wears me out

[Outro]
And if I could be who you wanted
If I could be who you wanted
All the time
All the time",1188,en,en,en
Lotus Flower,rock,Radiohead,2011,132158,{},"[Verse 1]
I will shape myself into your pocket
Invisible
Do what you want
Do what you want
I will shrink and I will disappear
I will slip into the groove
And cut me off
And cut me off

[Refrain]
There's an empty space inside my heart
Where the weeds take root
And now I'll set you free
I'll set you free
There's an empty space inside my heart
Where the weeds take root
So now I'll set you free
I'll set you free

[Chorus]
Slowly we unfurl
As lotus flowers
'Cause all I want is the moon upon a stick
Just to see what if
Just to see what is
I can't kick your habit
Just to feed your fast ballooning head
Listen to your heart
[Verse 2]
We will shrink and we'll be quiet as mice
And while the cat is away
Do what we want
Do what we want

[Refrain]
There's an empty space inside my heart
Where the weeds take root
So now I set you free
I set you free

[Bridge]
'Cause all I want is the moon upon a stick
Just to see what if
Just to see what is
Oh, the bird that’s flown into my room

[Chorus]
Slowly we unfurl
As lotus flowers
'Cause all I want is the moon upon a stick
I dance around the pit
The darkness is beneath
I can't kick your habit
Just to feed your fast ballooning head
Listen to your heart",5094,en,en,en
A Wolf at the Door,rock,Radiohead,2003,137755,{},"[Verse 1]
Drag him out your window
Dragging out the dead
Singing ""I miss you""
Snakes and ladders
Flip the lid
Out pops the cracker
Smacks you in the head
Knifes you in the neck
Kicks you in the teeth
Steel toe caps
Takes all your credit cards
Get up, get the gunge
Get the eggs
Get the flan in the face
The flan in the face
The flan in the face
Dance, you fucker, dance, you fucker
Don't you dare, don't you dare
Don't you, flan in the face
Take it with the love it's given
Take it with a pinch of salt
Take it to the taxman
Let me back, let me back
I promise to be good
Don't look in the mirror
At the face you don't recognize
Help me, call the doctor, put me inside
Put me inside, put me inside
Put me inside, put me inside
[Chorus]
I keep the wolf from the door but he calls me up
Calls me on the phone, tells me all the ways that he's gonna mess me up
Steal all my children if I don't pay the ransom
And I'll never see them again if I squeal to the cops

[Bridge]
No no no no no no no no no no no no no
No no no no no no no no no no no no no
No no no no no no no no no no no no no
No no no no no no no no no no no no no
No no no no no no no no no no no no no
No no no no no no no no no no no no no
No no no no no no no no no no no no no
No no no no no no no no no no no no no no

[Verse 2]
Walking like giant cranes and
With my X-ray eyes, I strip you naked
In a tight little world and are you on the list?
Stepford wives, who are we to complain?
Investments and dealers, investments and dealers
Cold wives and mistresses
Cold wives and Sunday papers
City boys in first class
Don't know we're born at all
Just know someone else is gonna come and clean it up
Born and raised for the job
Someone always does
Oh, I wish you'd get up
Get over, get up, get over, turn your tape off
[Chorus]
I keep the wolf from the door but he calls me up
Calls me on the phone, tells me all the ways that he's gonna mess me up
Steal all my children if I don't pay the ransom
And I'll never see them again if I squeal to the cops
So I'm just gonna...",49885,en,en,en
Nude,rock,Radiohead,2007,307099,{},"[Chorus]
Don't get any big ideas
They're not gonna happen

[Verse 1]
You paint yourself white
And fill up with noise
But there'll be something missing

[Verse 2]
Now that you've found it, it's gone
Now that you feel it, you don't
You've gone off the rails

[Chorus]
So don't get any big ideas
They're not gonna happen
You'll go to hell for what your dirty mind is thinking",65923,en,en,en
Weird Fishes/Arpeggi,rock,Radiohead,2007,328866,{},"[Verse 1]
In the deepest ocean
The bottom of the sea
Your eyes
They turn me
Why should I stay here?
Why should I stay?

[Verse 2]
I'd be crazy not to follow
Follow where you lead
Your eyes
They turn me
Turn me on to phantoms (Way out)
I follow to the edge (Way Out)
Of the earth (Way out)
And fall off
Yeah, everybody leaves (Way out)
If they get the chance (Way out)
And this (Way out)
Is my chance
[Bridge]
I get eaten by the worms
And weird fishes
Picked over by the worms
And weird fishes
Weird fishes
Weird fishes

[Instrumental Interlude]

[Outro]
Yeah, I...
I'll hit the bottom
Hit the bottom and escape
Escape
And I...
I'll hit the bottom
Hit the bottom and escape
Escape",65924,en,en,en
All I Need,rock,Radiohead,2007,355418,{},"[Verse 1]
I'm the next act
Waiting in the wings
I'm an animal
Trapped in your hot car
I am all the days
That you choose to ignore

[Chorus]
You are all I need
You're all I need
I'm in the middle of your picture
Lying in the reeds

[Verse 2]
I am a moth
Who just wants to share your light
I'm just an insect
Trying to get out of the night
I only stick with you
Because there are no others
[Chorus]
You are all I need
You're all I need
I'm in the middle of your picture
Lying in the reeds

[Outro]
It's all wrong, it's all wrong, it's all wrong
It's all right,  it's all right,  it's all right
It's all wrong,  it's all right
It's all right,  it's all right",65925,en,en,en
Staircase,rock,Radiohead,2011,11772,{},"[Verse 1]
I walk down the staircase
Magnetic pull
Back to the other place
That I cannot go

I'm sending a chopper
To steal you away

[Chorus]
The pot is full, let me take control
Let me take control
The pot is full of secrets to be told
Secrets to be told

[Verse 2]
Out of orbit
And I always will

[Chorus]
The pot is full, let me take control
Let me take control
The pot is full of secrets to be told
Secrets to be told",51385,en,en,en
Optimistic,rock,Radiohead,2000,148055,{},"[Verse 1]
Flies are buzzing 'round my head
Vultures circling the dead
Picking up every last crumb
The big fish eat the little ones
The big fish eat the little ones
Not my problem, give me some

[Chorus]
You can try the best you can
You can try the best you can
The best you can is good enough
You can try the best you can
You can try the best you can
The best you can is good enough

[Verse 2]
This one's optimistic
This one went to market
This one just came out of the swamp
This one drops a payload
Fodder for the animals
Living on an animal farm
[Chorus]
You can try the best you can
You can try the best you can
The best you can is good enough
You can try the best you can
You can try the best you can
The best you can is good enough

[Bridge]
I'd really like to help you, man
I'd really like to help you, man
Nervous messed up marionette
Float around on a prison ship

[Chorus]
You can try the best you can
You can try the best you can
The best you can is good enough
You can try the best you can
You can try the best you can
Dinosaurs roaming the earth
Dinosaurs roaming the earth
Dinosaurs roaming the earth",50433,en,en,en
Faust Arp,rock,Radiohead,2007,110297,{},"[Intro]
One, two, three, four

[Verse 1]
Wakey wakey
Rise and shine
It's on again, off again, on again
Watch me fall
Like dominoes
In pretty patterns
Fingers in
The blackbird pie
I'm tingling tingling tingling
It's what you feel now
What you ought to what you ought to
Reasonable and sensible

[Chorus 1]
Dead from the neck up
I guess I'm stuffed, stuffed, stuffed
We thought you had it in you
But no, no, no
For no real reason
[Verse 2]
Squeeze the tubes and empty bottles
And take a bow take a bow take a bow
It's what you feel now
What you ought to what you ought to
An elephant that's in the room is
Tumbling, tumbling, tumbling
In duplicate and triplicate and
Plastic bags and
Duplicate and triplicate

[Chorus 2]
Dead from the neck up
I guess I'm stuck, stuck, stuck
We thought you had it in you
But no, no, no
Exactly where do you get off
Is enough, is enough?
I love you but enough is enough, enough of that stuff
There's no real reason

[Outro]
You've got a head full of feathers
You got melted to butter",65926,en,en,en
