title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Under Control,rock,The Strokes,2003,50008,{},"[Verse 1]
I don't wanna waste your time
I don't wanna waste your time
I just wanna say
I've got to say

[Chorus]
We worked hard, darling
We don't have no control
We're under control

[Post-Chorus]
I don't wanna do it your way
I don't wanna do it your way
I don't wanna give it to you, your way
I don't want to know...

[Verse 2]
I don't wanna change your mind
I don't wanna change the world
I just wanna watch it go by–
I just wanna watch you go by
[Chorus]
We were young, darling
We don’t have no control
We’re out of control

[Post-Chorus]
I don't wanna do it your way
I don't wanna do it your way
I don't wanna give it to you, your way
I don't want to know...

[Verse 3]
I don't wanna change your mind
I don't wanna waste your time
I just wanna know you're alright
I've got to know you're alright

[Chorus]
You are young, darling
For now, but not for long
Under control",63094,en,en,en
Someday,rock,The Strokes,2002,378768,{},"[Verse 1]
In many ways, they'll miss the good old days
Someday, someday
Yeah, it hurts to say, but I want you to stay
Sometimes, sometimes
When we was young, oh man, did we have fun
Always, always
Promises, they break before they're made
Sometimes, sometimes

[Chorus]
Oh, Maya says I'm lacking in depth
I will do my best
You say you wanna stand by my side
Darling, your head's not right
I see alone we stand; together we fall apart
Yeah, I think I'll be alright
I'm working so I won't have to try so hard
Tables, they turn sometimes
Oh, someday
No, I ain't wasting no more time
[Interlude]
(Trying, trying)

[Verse 2]
And now my fears, they come to me in threes
So I sometimes
Say, ""Fate, my friend, you say the strangest things
I find sometimes""

[Chorus]
Oh, Maya says I'm lacking in depth
Shit, I will try my best
You say you wanna stay by my side
Darling, your head's not right
I see alone we stand; together we fall apart
Yeah, I think I'll be alright
I'm working so I won't have to try so hard
Tables, they turn sometimes
Oh, someday
I ain't wasting no more time",63952,en,en,en
Reptilia,rock,The Strokes,2004,308782,{},"[Verse 1]
He seemed impressed by the way you came in
""Tell us a story, I know you're not boring""
I was afraid that you would not insist
""You sound so sleepy, just take this, now leave me""

[Pre-Chorus]
I said please don't slow me down if I'm going too fast
You're in a strange part of our town

[Chorus]
Yeah, the night's not over, you're not trying hard enough
Our lives are changing lanes, you ran me off the road
The wait is over, I'm now taking over
You're no longer laughing, I'm not drowning fast enough

[Verse 2]
Now every time that I look at myself
""I thought I told you, this world is not for you""
The room is on fire as she's fixing her hair
""You sound so angry, just calm down, you found me""
[Pre-Chorus]
I said please don't slow me down if I'm going too fast
You're in a strange part of our town

[Chorus]
Yeah, the night's not over, you're not trying hard enough
Our lives are changing lanes, you ran me off the road
The wait is over, I'm now taking over
You're no longer laughing, I'm not drowning fast enough",64631,en,en,en
12:51,rock,The Strokes,2003,112453,{},"[Verse 1]
Talk to me now I'm older
Your friend told you 'cause I told her
Friday nights have been lonely
Change your plans and then phone me

[Verse 2]
We could go and get forties
Fuck going to that party
Oh really, your folks are away now?
Alright, let's go, you convinced me

[Chorus]
12:51 is the time my voice
Found the words I sought
Is it this stage I want?
The world is shutting out for us
Oh, we were tense for sure
But we was confident

[Verse 3]
Kiss me now that I'm older
I won't try to control you
Friday nights have been lonely
Take it slow but don't warn me
[Outro]
We'd go out and get forties
Then we'd go to some party
Oh, really, your folks are away now?
Alright, I'm coming, I'll be right there",68169,en,en,en
New York City Cops,rock,The Strokes,2001,82359,{},"[Intro]
Ow! Haha, I meant, ah!
Haha, no, I didn't mean that at all
Ooh, ooh, ooh

[Verse 1]
Here in the streets so mechanized
Rise to the bottom of the meaning of life
Studied all the rules and didn't want no part
But I let you in just to break this heart
Even though it was only one night
It was fucking strange

[Pre-Chorus]
Nina's in the bedroom, she said, ""Time to go now""
But leavin' it ain't easy, I got to let go, oh, I got to let go
And the hours, they ran slow
I said, every night, she just can't stop saying

[Chorus]
New York City cops, New York City cops
New York City cops, but they ain't too smart
New York City cops, New York City cops
New York City cops, but they ain't too smart
[Verse 2]
Well, kill me now 'cause I let you down
I swear one day I'm gonna leave this town
Stop
Yes, I'm leaving, 'cause it just won't work
And they act like Romans, but they dress like Turks
Some time in your prime, see me, I like the summertime but, hey

[Pre-Chorus]
Nina's in the bedroom, she said, ""Time to go now""
But leaving, it ain't easy, oh, I got to let go, oh, I got to let go, oh
Trapped in an apartment, she would not let them get her
She wrote it in a letter, I got to come clean
The authorities they've seen, darling, I'm somewhere in between
I said, every night, she just can't stop saying

[Chorus]
New York City cops, New York City cops
New York City cops, but they ain't too smart
New York City cops, New York City cops
New York City cops, but they ain't too smart",68174,en,en,en
Soma,rock,The Strokes,2001,151650,{},"[Verse 1]
Soma is what they would take when
Hard times opened their eyes
Saw pain in a new way
High stakes for a few names
Racing against sunbeams
Losing against fig trees
In your eyes

[Chorus]
And I am
Stop
And go
In your eyes
See, I am
Stop
And go
In your eyes

[Interlude]
Let's go
[Verse 2]
When I saw her for the first time
Lips moved as her eyes closed
Heard something in his voice
""And I'll be there,"" he says
Then he walks out
Somehow he was trying
Too hard to be like them

[Chorus]
And I am
Stop
And go
In your eyes
And I am
Stop
Oh, darling let me go

[Outro]
Tried it once and they liked it
And tried to hide it
Says, ""I've been doing this twenty-five years""
Well, I'm not listening no more
And these friends, they keep asking for more
Oh, yeah, oh, but that's it",76597,en,en,en
What Ever Happened?,rock,The Strokes,2003,92292,{},"[Chorus]
I wanna be forgotten
And I don't wanna be reminded
You say, ""Please don't make this harder""
No, I won't yet
I wanna be beside her
She wanna be admired
You say, ""Please don't make this harder""
No, I won't yet

[Verse 1]
Oh, dear, is it really all true?
Did they offend us and they want it to sound new?
Top ten ideas for countdown shows
Whose culture is this and does anybody know?
I wait and tell myself, ""life ain't chess""
But no one comes in and yes, you're alone
You don't miss me, I know

[Verse 2]
Oh, Tennessee, what did you write?
I come together in the middle of the night
Oh, that's an ending that I can't write
'Cause I've got you to let me down
[Chorus]
I wanna be forgotten
And I don't want to be reminded
You say, ""Please don't make this harder""
No, I won't yet
I wanna be beside her
She wanna be admired
I said, ""Please don't make this harder""
No, I won't yet",76811,en,en,en
You Only Live Once,rock,The Strokes,2006,187570,{},"[Verse 1]
Some people think they're always right
Others are quiet and uptight
Others, they seem so very nice-nice-nice-nice, oh
Inside they might feel sad and wrong, oh no
Twenty-nine different attributes
Only seven that you like, oh
Twenty ways to see the world, oh
Twenty ways to start a fight, oh

[Chorus]
Oh, don't, don't, don't get up
I can't see the sunshine
I'll be waiting for you, baby
'Cause I'm through
Sit me down
Shut me up
I'll calm down
And I'll get along with you

[Verse 2]
Oh, men don't notice what they got
Oh, women think of that a lot
One thousand ways to please your man, oh
Not even one requires a plan, I know
And countless odd religions too
It doesn't matter which you choose, oh no
One stubborn way to turn your back, oh
This I've tried and now refuse, oh
[Chorus]
Oh, don't, don't, don't get up
I can't see the sunshine
Oh, I'll be waiting for you, baby
'Cause I'm through
Sit me down
Shut me up
I'll calm down
And I'll get along with you, alright

[Outro]
Shut me up
Shut me up
And I'll get along with you",76842,en,en,en
Hard to Explain,rock,The Strokes,2001,185761,{},"[Verse 1]
Was an honest man
Asked me for the phone, tried to take control
Oh, I don't see it that way
I don't see it that way

[Verse 2]
We shared some ideas
All obsessed with fame, says we're all the same
Oh, I don't see it that way
I don't see it that way

[Pre-Chorus]
Raised in Carolina
I'm not like that
Trying to remind her
When we go back

[Chorus 1]
I missed the last bus, I'll take the next train
I'll try, but you see, it's hard to explain
I say the right thing but act the wrong way
I like it right here, but I cannot stay
I'm watching TV, forget what I'm told
Well, I am too young and they are too old
The joke is on you, this place is a zoo
You're right, it's true
[Verse 3]
He said he can't decide
I shake my head to say, ""everything's just great""
Oh, I just can't remember
I just can't remember

[Pre-Chorus]
Raised in Carolina
She says, ""I'm not like that""
Trying to remind her
When we go back

[Chorus 2]
I say the right thing but act the wrong way
I like it right here, but I cannot stay
I'm watching TV, forget what I'm told
Well, I am too young and they are too old
Oh man, can't you see, I'm nervous, so please
Pretend to be nice so I can be mean
I missed the last bus, we'll take the next train
I'll try, but you see, it's hard to explain",77061,en,en,en
Under Cover of Darkness,rock,The Strokes,2011,142887,{},"[Verse 1]
Slip back out of whack at your best
It's a nightmare
So I'm joining the army
No house phones, but can I still call?
Will you wait for me now?
We've got the right to live, fight to use it
Got everything but you can just choose it
I won't just be a puppet on a string

[Pre-Chorus]
Don't go that way
I'll wait for you

[Chorus 1]
And I'm tired of all your friends
Listening at your door
I want what's better for you
So long, my friend and adversary
But I'll wait for you
[Verse 2]
Get dressed, jump out of bed into a vest
Are you okay?
I've been all around this town
Everybody's been singing the same song for ten years

[Pre-Chorus]
I'll wait for you
Will you wait for me too?

[Chorus 2]
And they sacrifice their lives
And they lied about those odds
They'll say it a million times, and they'll say it again
So long, my adversary and friend

[Pre-Chorus]
Don't go that way
I'll wait for you

[Chorus 3]
I'm tired of all your friends
Banging down your door
Get up in the morning yelling, ""No more!""
So long, my friend and adversary
But I'll be waiting for you",83647,en,en,en
